år,uge,lottotal,tillægstal,6rigtige,5+rigtige,5rigtige,4rigtige,3rigtige
2006,40,1 12 19 28 29 32,24 37,0,150942,3346,103,38
2006,41,19 24 25 37 40 48,41 43,11075265,167400,3495,119,42
2006,42,7 11 13 16 27 47,20 35,0,48226,2431,91,34
2006,43,3 4 6 38 39 42,21 48,7318340,165668,3316,130,43
2006,44,4 14 16 32 45 48,20 21,10257616,150311,2970,116,42
2006,45,11 14 39 46 47 48,23 33,0,92587,3178,108,42
2006,46,2 19 27 37 44 47,12 26,7360783,59853,3713,113,41
2006,47,9 27 30 31 32 34,2 6,6631985,135729,3059,106,39
2006,48,2 30 31 38 43 45,18 42,0,54044,3356,136,46
2006,49,1 10 11 20 41 45,17 18,6692803,104161,3629,111,40
2006,50,3 6 18 24 31 43,37 46,3569485,143464,3182,114,41
2006,51,3 19 22 33 35 42,5 41,0,142500,2937,105,39
2006,52,1 32 33 36 39 45,34 48,0,95657,3389,119,44
2007,1,2 17 21 34 39 40,6 44,3881751,104135,2818,105,38
2007,2,5 35 36 41 42 43,7 14,3603388,91669,3600,124,45
2007,3,4 13 22 25 41 47,1 33,3563910,266224,3096,108,40
2007,4,3 19 23 24 28 41,42 44,3502974,256553,3033,105,37
2007,5,4 20 22 39 42 47,31 44,3513529,134581,3287,116,42
2007,6,1 14 30 35 38 40,15 36,3463382,88810,3148,126,43
2007,7,4 15 34 35 46 48,9 22,5252313,87743,3447,114,42
2007,8,10 25 28 31 43 46,8 38,0,63518,3328,125,44
2007,9,16 17 26 29 33 42,5 40,0,61956,3018,103,39
2007,10,3 19 32 34 36 45,10 27,12531870,68137,2763,113,41
2007,11,1 9 12 27 43 45,10 26,0,38974,3848,107,39
2007,12,3 18 26 38 45 46,24 30,8501172,125145,3972,121,43
2007,13,3 6 15 21 41 47,12 32,7000000,82612,3716,104,38
2007,14,16 29 36 37 44 45,25 43,0,308162,3523,125,44
2007,15,15 16 24 38 40 43,20 32,8337965,296789,3562,126,43
2007,16,5 7 14 15 25 35,33 42,0,141092,2151,91,36
2007,17,2 14 28 30 33 35,1 48,11927886,163954,2721,105,39
2007,18,1 16 17 19 36 41,2 25,1898336,110519,3729,115,41
2007,19,2 3 12 13 28 36,17 44,7260379,313371,2663,102,37
2007,20,4 7 27 36 40 46,19 23,0,138801,3127,115,41
2007,21,17 18 27 39 41 42,24 30,2464310,0,4564,145,42
2007,22,14 23 30 36 41 48,7 18,3388779,50433,3244,123,44
2007,23,9 19 26 34 38 45,4 28,0,84456,2813,101,40
2007,24,6 15 19 27 29 41,10 37,3645808,56545,3088,98,37
2007,25,4 8 9 17 32 45,11 16,3478523,51579,2777,101,37
2007,26,3 13 28 31 37 42,29 34,3512266,258160,4639,114,42
2007,27,4 15 16 22 37 42,5 38,0,127509,3600,113,42
2007,28,7 29 35 38 40 44,39 43,7760887,74771,2877,122,43
2007,29,2 12 27 28 29 32,15 31,1800461,249540,2650,96,37
2007,30,13 27 28 39 42 48,25 44,0,81488,2845,113,40
2007,31,1 21 28 36 44 47,4 25,20740246,76394,4225,118,41
2007,32,14 15 20 29 36 41,12 13,1770800,82422,4042,117,41
2007,33,2 7 15 29 40 43,12 42,3513050,81479,2988,108,40
2007,34,13 31 34 35 40 44,30 47,6501744,0,6447,152,45
2007,35,15 16 17 21 43 46,4 11,0,120259,4672,119,41
2007,36,3 20 24 32 34 48,7 28,0,279268,2879,115,41
2007,37,3 21 22 24 26 47,40 41,5881726,76777,2953,105,38
2007,38,5 8 14 33 35 36,18 28,5208969,0,4887,148,42
2007,39,16 30 31 35 44 46,27 32,0,59558,3364,124,44
2007,40,1 3 10 27 28 46,11 17,7710708,56300,2709,96,36
2007,41,3 7 17 18 26 30,2 19,3632523,246825,2128,89,36
2007,42,11 27 29 31 44 48,7 16,5198189,0,5878,148,43
2007,43,6 7 17 26 36 43,14 34,0,117552,3679,116,41
2007,44,1 6 18 20 30 42,2 4,0,142175,2667,105,40
2007,45,7 10 28 32 33 43,12 41,12369409,110665,3322,113,40
2007,46,8 20 22 33 39 45,24 26,3650383,123022,3059,104,39
2007,47,4 10 15 26 42 43,5 7,1820073,121252,3637,115,41
2007,48,5 8 11 21 27 45,10 35,3600515,60748,3801,93,35
2007,49,8 17 19 26 30 32,28 39,3629303,62510,2655,104,38
2007,50,2 9 14 34 35 46,23 27,10484559,63054,2843,109,40
2007,51,13 18 20 22 32 36,7 9,0,239823,2548,102,40
2007,52,4 8 9 11 26 46,29 35,6582013,34447,3040,91,35
2008,1,4 10 21 28 34 42,16 35,3500000,109961,2446,92,37
2008,2,1 6 27 30 31 44,13 39,7000000,116302,3640,109,40
2008,3,5 17 18 23 25 36,2 20,0,0,5301,142,41
2008,4,3 9 15 23 30 34,29 43,3729517,69958,2466,93,36
2008,5,15 21 32 39 46 47,4 38,1158361,79099,2901,108,41
2008,6,1 11 16 18 30 36,4 22,3503937,242045,3419,115,40
2008,7,9 12 15 25 38 43,14 41,7000000,119713,3449,122,42
2008,8,2 3 15 22 44 45,6 31,3497614,117377,3192,111,39
2008,9,3 7 21 24 26 37,20 46,0,0,4351,134,39
2008,10,4 5 14 18 29 42,6 46,0,66310,2952,108,40
2008,11,7 9 15 27 33 34,22 40,16415516,56475,2462,82,35
2008,12,2 15 16 25 37 40,26 48,0,58041,3686,118,41
2008,13,13 19 38 40 41 44,6 33,5602352,315582,3607,112,42
2008,14,8 27 29 41 43 44,30 38,1907153,92817,3518,115,41
2008,15,1 8 24 27 34 43,6 48,3686336,43373,3982,110,40
2008,16,5 22 23 27 37 45,12 38,4552028,21357,3919,120,40
2008,17,12 35 37 38 43 45,18 23,3604304,83348,3162,123,46
2008,18,5 6 12 20 21 36,15 23,7000000,86627,2680,104,38
2008,19,10 13 14 15 26 27,7 43,1761077,62887,2003,87,35
2008,20,4 5 8 16 26 42,7 32,1774130,119699,2340,89,36
2008,21,8 13 19 23 25 28,7 9,31164743,123663,2627,88,35
2008,22,8 12 25 29 36 39,14 21,3239694,111244,3145,117,41
2008,23,4 7 22 28 31 46,12 35,0,113774,3039,104,38
2008,24,9 18 31 33 45 48,8 41,7203771,125659,3234,115,42
2008,25,5 26 27 32 36 48,19 45,1649636,112913,3780,118,43
2008,26,2 8 16 19 41 45,24 46,1650779,72794,4361,109,39
2008,27,36 37 39 43 44 47,22 26,3327869,75760,2283,116,46
2008,28,12 13 20 27 36 41,16 44,0,74336,3279,96,40
2008,29,4 19 22 37 40 43,39 44,0,59097,3087,116,42
